Version, Total, Open, Closed
12.2, 6, 4, 2
12.1, 49, 32, 17
12.0, 120, 83, 37
11.15, 1, 1, 0
11.14, 1, 0, 1
11.6, 80, 50, 30
11.5, 131, 73, 58
11.4, 102, 58, 44
11.3, 186, 123, 63
11.2, 129, 77, 52
11.1, 85, 45, 40
11.0, 39, 21, 18
10.4, 81, 45, 36
10.3, 45, 17, 28
10.2, 139, 63, 76
10.1, 58, 21, 37
10.0, 56, 25, 31
9.5, 57, 24, 33
9.4, 110, 33, 77
9.3, 104, 17, 87
9.2, 88, 13, 75
9.1, 94, 13, 81
9.0, 92, 5, 87
8.5, 61, 1, 60
8.4, 93, 10, 83
8.3, 63, 6, 57
8.2, 6, 0, 6
8.1, 3, 2, 1
8.0, 2, 0, 2
7.5, 3, 0, 3
7.3, 2, 1, 1
4.8, 1, 0, 1
4.6, 1, 0, 1
3.5, 1, 0, 1
1.16, 1, 0, 1
0.11, 1, 1, 0
No Version, 1651, 404, 1247
